Source,Target,Weight
5157,346,1
5157,2,1
4308,5461,1
4308,5307,1
4308,777,1
4308,610,1
3277,6020,1
3277,487,1
3277,353,1
3277,2,1
3072,3063,1
3072,59,1
2780,6607,1
2780,2655,1
2780,2611,1
2780,2215,1
2780,2208,1
2780,2,1
1005,6536,1
1005,5714,1
1005,5420,1
1005,5307,1
1005,2,1
126,7931,1
126,5893,1
126,5282,1
126,389,1
126,346,1
126,221,1
126,161,1
126,2,1
6932,7931,1
4774,6739,1
4774,6536,1
4774,6261,1
4774,5798,1
3008,6744,1
3008,6637,1
3008,5631,1
3008,5425,1
3008,5307,1
3008,3904,1
3008,3279,1
3008,3173,1
3008,3027,1
3008,2977,1
3008,2969,1
3008,2020,1
3008,1968,1
3008,1678,1
3008,777,1
3008,243,1
3008,195,1
2230,777,1
2230,195,1
2167,7402,1
2167,6469,1
2167,2,1
1760,5624,1
1760,777,1
1760,346,1
1735,6637,1
1735,5531,1
1735,5307,1
1735,3736,1
1735,3640,1
1735,3538,1
1735,3244,1
1735,3114,1
1735,2963,1
1735,2668,1
1735,2236,1
1735,2020,1
1735,1968,1
1735,1475,1
1735,942,1
1735,89,1
1250,6973,1
1250,6469,1
1250,5307,1
3,6718,1
3,6435,1
3,6086,1
3,6032,1
3,5663,1
3,5503,1
3,5284,1
3,5253,1
3,5181,1
3,5013,1
3,4964,1
3,4755,1
3,4671,1
3,4515,1
3,3056,1
3,2905,1
3,2895,1
3,2712,1
3,2611,1
3,1428,1
3,1420,1
3,1292,1
3,1268,1
3,983,1
3,701,1
3,619,1
3,525,1
3,478,1
3,474,1
3,401,1
3,397,1
3,346,1
3,278,1
3,253,1
3,195,1
3,128,1
3,112,1
3,111,1
3,106,1
3,102,1
3,92,1
3,90,1
3,89,1
3,81,1
3,79,1
3,75,1
3,69,1
3,68,1
3,64,1
3,61,1
3,59,1
3,58,1
3,57,1
3,55,1
3,52,1
3,50,1
3,47,1
3,45,1
3,43,1
3,41,1
3,40,1
3,39,1
3,36,1
3,33,1
3,32,1
3,28,1
3,26,1
3,22,1
3,21,1
3,20,1
3,16,1
3,10,1
3,8,1
3,7,1
3,5,1
3,2,1
8578,8572,1
8578,1321,1
8578,2,1
5284,8577,1
5284,5722,1
5284,5572,1
5284,5566,1
5284,5386,1
5284,5216,1
5284,1321,1
5284,777,1
5284,2,1
4976,2002,1
4976,777,1
4859,8479,1
4859,8451,1
4859,8373,1
4859,8372,1
4859,8370,1
4859,8357,1
4859,8341,1
4859,8330,1
4859,8329,1
4859,8325,1
4859,8301,1
4859,7991,1
4859,7846,1
4859,6888,1
4859,6591,1
4859,6411,1
4859,5722,1
4859,5659,1
4859,5216,1
4859,5174,1
4859,5073,1
4859,5060,1
4859,4710,1
4859,420,1
4859,346,1
4859,24,1
4859,22,1
4859,2,1
8573,8572,1
8573,5629,1
8573,5176,1
8573,4528,1
8573,530,1
8573,401,1
8573,2,1
8236,8180,1
8220,8180,1
5003,7282,1
5003,6778,1
5003,6495,1
5003,5202,1
5003,1321,1
767,5420,1
767,3164,1
767,3046,1
767,3017,1
767,1924,1
767,1787,1
767,1505,1
767,1439,1
767,1438,1
767,1370,1
767,1292,1
767,1243,1
767,850,1
767,619,1
767,346,1
767,206,1
767,183,1
767,100,1
767,24,1
767,2,1
592,8483,1
592,8301,1
592,5175,1
592,5073,1
592,4060,1
592,1743,1
592,1684,1
592,1243,1
592,861,1
592,79,1
592,2,1
577,5981,1
577,5154,1
577,4984,1
577,4179,1
577,2020,1
577,1295,1
577,1243,1
577,243,1
577,2,1
8524,8522,1
8524,8520,1
8524,8515,1
8524,8388,1
8524,8301,1
8524,4964,1
8524,1947,1
8522,8520,1
8522,8515,1
8522,8388,1
8522,8301,1
8522,4964,1
8522,1947,1
8520,8515,1
8520,8388,1
8520,8301,1
8520,4964,1
8520,1947,1
8515,8301,1
8515,4964,1
8388,2,1
7375,8013,1
5040,8183,1
5040,7269,1
5040,5175,1
5040,346,1
4964,8531,1
4964,8530,1
4964,8528,1
4964,8527,1
4964,8526,1
4964,8524,1
4964,8522,1
4964,8520,1
4964,8518,1
4964,8515,1
4964,8486,1
4964,8330,1
4964,8325,1
4964,8309,1
4964,8308,1
4964,7173,1
4964,6637,1
4964,5904,1
4964,5896,1
4964,5782,1
4964,5770,1
4964,5699,1
4964,5670,1
4964,5566,1
4964,4984,1
4964,4969,1
4964,3245,1
4964,3164,1
4964,3,1
4964,2,1
3612,6027,1
3612,3675,1
3612,777,1
2826,5919,1
2826,1493,1
2826,1192,1
2435,5175,1
2435,346,1
1947,6617,1
1947,5307,1
1947,5202,1
1947,2897,1
1947,1989,1
1947,346,1
1947,195,1
1947,2,1
8504,2895,1
8504,1136,1
8504,2,1
1136,8585,1
1136,6261,1
1136,777,1
1136,734,1
1136,532,1
346,8482,1
346,8413,1
346,8115,1
346,8071,1
346,7679,1
346,7088,1
346,6956,1
346,6360,1
346,6226,1
346,5943,1
346,5659,1
346,5608,1
346,5425,1
346,5399,1
346,5202,1
346,5157,1
346,5087,1
346,5073,1
346,5056,1
346,5049,1
346,4987,1
346,4984,1
346,4942,1
346,4934,1
346,4914,1
346,4859,1
346,4833,1
346,4459,1
346,4289,1
346,4234,1
346,4153,1
346,4107,1
346,4060,1
346,4049,1
346,4045,1
346,3960,1
346,3938,1
346,3926,1
346,3869,1
346,3585,1
346,3569,1
346,3538,1
346,3475,1
346,3114,1
346,3017,1
346,2977,1
346,2968,1
346,2944,1
346,2905,1
346,2877,1
346,2374,1
346,2303,1
346,1957,1
346,1947,1
346,1765,1
346,1720,1
346,1678,1
346,1634,1
346,1506,1
346,1342,1
346,1321,1
346,1292,1
346,1287,1
346,1185,1
346,1155,1
346,1097,1
346,830,1
346,767,1
346,720,1
346,706,1
346,676,1
346,619,1
346,610,1
346,580,1
346,532,1
346,487,1
346,435,1
346,425,1
346,420,1
346,419,1
346,417,1
346,413,1
346,410,1
346,409,1
346,400,1
346,397,1
346,372,1
346,362,1
346,355,1
346,351,1
346,344,1
346,343,1
346,336,1
346,278,1
346,270,1
346,253,1
346,251,1
346,243,1
346,196,1
346,195,1
24,5687,1
24,5480,1
24,5293,1
24,5202,1
24,5175,1
24,5100,1
24,5073,1
24,4045,1
24,3767,1
24,1765,1
24,1462,1
24,1321,1
24,777,1
24,346,1
24,195,1
24,158,1
24,157,1
24,112,1
24,109,1
24,60,1
24,59,1
24,47,1
24,3,1
24,2,1
3767,8491,1
3767,5073,1
3767,4993,1
3767,3538,1
3767,777,1
3767,346,1
3767,24,1
3767,2,1
8569,8449,1
8569,7617,1
8569,6646,1
8569,6459,1
8569,5042,1
8569,4865,1
8569,4471,1
8569,4369,1
8569,4230,1
8569,3935,1
8569,3767,1
8569,3256,1
8569,925,1
8569,915,1
8569,222,1
8569,27,1
8567,8301,1
8567,777,1
8567,2,1
8485,2,1
8468,8465,1
8468,4080,1
8212,8449,1
8212,2,1
7663,8298,1
7663,7809,1
6440,777,1
6052,353,1
6052,2,1
5726,2,1
4369,5855,1
4369,5570,1
4369,5285,1
4080,777,1
4080,120,1
2938,6739,1
2938,3407,1
2938,3015,1
2938,1768,1
2938,1755,1
2938,2,1
2406,777,1
1393,5570,1
1307,7225,1
1307,6276,1
1307,5461,1
1307,1957,1
1307,2,1
1173,5699,1
947,7229,1
947,6547,1
517,59,1
420,8636,1
420,6714,1
420,6607,1
420,6429,1
420,6413,1
420,5936,1
420,5307,1
420,5177,1
420,5013,1
420,4987,1
420,4859,1
420,4289,1
420,2977,1
420,2668,1
420,1287,1
420,1015,1
420,777,1
420,426,1
420,422,1
420,397,1
420,362,1
420,358,1
420,346,1
420,341,1
420,279,1
420,243,1
420,196,1
420,195,1
420,36,1
420,7,1
420,2,1
265,5404,1
265,5298,1
265,701,1
265,555,1
265,370,1
265,301,1
265,224,1
265,195,1
265,79,1
265,2,1
261,6544,1
261,5779,1
261,5202,1
261,5198,1
261,535,1
261,474,1
261,433,1
261,430,1
261,282,1
261,253,1
261,224,1
261,196,1
261,190,1
261,164,1
261,100,1
261,89,1
261,68,1
261,57,1
261,55,1
261,47,1
261,21,1
261,7,1
261,5,1
261,2,1
255,4964,1
255,777,1
255,558,1
255,400,1
255,346,1
255,224,1
255,2,1
241,7425,1
241,7232,1
241,6544,1
241,5198,1
241,777,1
241,420,1
241,346,1
241,330,1
241,224,1
241,79,1
241,59,1
241,2,1
229,5623,1
229,2027,1
229,400,1
229,346,1
229,301,1
229,224,1
229,102,1
229,36,1
229,2,1
224,7270,1
224,6360,1
224,5380,1
224,5339,1
224,5298,1
224,5224,1
224,2546,1
224,777,1
224,514,1
224,455,1
224,400,1
224,346,1
224,330,1
224,304,1
224,261,1
224,229,1
224,196,1
224,55,1
224,43,1
224,42,1
224,32,1
224,2,1
212,6010,1
212,777,1
212,346,1
212,224,1
212,55,1
212,24,1
196,7808,1
196,7181,1
196,6624,1
196,6539,1
196,5901,1
196,4599,1
196,3938,1
196,3871,1
196,3825,1
196,3804,1
196,3750,1
196,3740,1
196,3665,1
196,3606,1
196,3287,1
196,3213,1
196,3183,1
196,3121,1
196,3029,1
196,2930,1
196,2825,1
196,2756,1
196,2455,1
196,2377,1
196,2333,1
196,2329,1
196,1891,1
196,1785,1
196,1715,1
196,1701,1
196,1677,1
196,1466,1
196,1459,1
196,1452,1
196,1420,1
196,1321,1
196,1135,1
196,1105,1
196,1103,1
196,1060,1
196,986,1
196,889,1
196,795,1
196,754,1
196,740,1
196,717,1
196,670,1
196,612,1
196,599,1
196,577,1
196,533,1
196,532,1
196,522,1
196,450,1
196,420,1
196,353,1
196,346,1
196,295,1
196,261,1
196,248,1
196,232,1
196,224,1
196,171,1
196,79,1
196,21,1
196,2,1
55,6007,1
55,5202,1
55,5157,1
55,5052,1
55,4900,1
55,4547,1
55,4108,1
55,3938,1
55,2968,1
55,2905,1
55,2877,1
55,2374,1
55,1506,1
55,1292,1
55,777,1
55,676,1
55,614,1
55,532,1
55,474,1
55,435,1
55,397,1
55,346,1
55,282,1
55,270,1
55,261,1
55,253,1
55,251,1
55,243,1
55,224,1
55,190,1
55,172,1
55,171,1
55,150,1
55,128,1
55,124,1
55,92,1
55,89,1
55,79,1
55,61,1
55,59,1
55,36,1
55,3,1
55,2,1
43,777,1
43,407,1
43,369,1
43,310,1
43,293,1
43,224,1
43,155,1
43,109,1
43,3,1
43,2,1
42,7374,1
42,777,1
42,645,1
42,487,1
42,474,1
42,445,1
42,346,1
42,224,1
42,195,1
42,79,1
42,61,1
42,47,1
42,2,1
32,6638,1
32,6480,1
32,6215,1
32,6007,1
32,5388,1
32,3295,1
32,3280,1
32,2967,1
32,2911,1
32,2433,1
32,2020,1
32,1624,1
32,1397,1
32,1080,1
32,983,1
32,832,1
32,754,1
32,432,1
32,397,1
32,357,1
32,232,1
32,224,1
32,195,1
32,155,1
32,144,1
32,112,1
32,57,1
32,41,1
32,21,1
32,3,1
32,2,1
17,5014,1
17,224,1
17,141,1
17,3,1
17,2,1
1,8256,1
1,8141,1
1,8026,1
1,6426,1
1,4900,1
1,4891,1
1,3971,1
1,3865,1
1,3538,1
1,3347,1
1,2978,1
1,2905,1
1,2712,1
1,1634,1
1,1472,1
1,1455,1
1,1420,1
1,1321,1
1,1104,1
1,983,1
1,850,1
1,777,1
1,720,1
1,532,1
1,528,1
1,487,1
1,437,1
1,432,1
1,426,1
1,400,1
1,393,1
1,374,1
1,273,1
1,251,1
1,195,1
1,171,1
1,155,1
1,79,1
1,61,1
1,3,1
1,2,1
382,5307,1
382,3027,1
382,2977,1
382,2548,1
382,2020,1
382,1182,1
382,1034,1
382,676,1
382,619,1
382,487,1
382,474,1
382,389,1
8473,8449,1
8472,8309,1
8472,8256,1
8471,8470,1
8471,8469,1
8471,8464,1
8471,8449,1
8471,8301,1
8471,8256,1
8471,5174,1
8471,407,1
8471,346,1
8471,2,1
8471,1,1
5659,8015,1
5659,7669,1
5659,7298,1
5659,6627,1
5659,6173,1
5659,6112,1
5659,4859,1
5659,4659,1
5659,4641,1
5659,4215,1
5659,3139,1
5659,777,1
5659,660,1
5659,596,1
5659,536,1
5659,410,1
5659,353,1
5659,2,1
5174,6440,1
5174,5178,1
5174,4859,1
5174,777,1
5174,2,1
4289,6154,1
4289,5936,1
4289,2026,1
4289,420,1
4289,346,1
4289,2,1
407,5307,1
407,3353,1
407,2002,1
407,1717,1
407,1292,1
407,484,1
407,435,1
407,413,1
407,268,1
407,195,1
407,47,1
407,2,1
8469,8471,1
8469,8449,1
8205,8180,1
5386,8465,1
5386,8461,1
5386,8301,1
5386,7791,1
5386,7759,1
5386,7381,1
5386,6269,1
5386,6265,1
5386,6262,1
5386,5996,1
5386,5981,1
